Date,Open,High,Low,Close
1971-01-04,0.5411,0.5411,0.5411,0.5411
1971-01-05,0.5405,0.5405,0.5405,0.5405
1971-01-06,0.5409,0.5409,0.5409,0.5409
1971-01-07,0.5432,0.5432,0.5432,0.5432
1971-01-08,0.5436,0.5436,0.5436,0.5436
1971-01-11,0.5441,0.5441,0.5441,0.5441
1971-01-12,0.5425,0.5425,0.5425,0.5425
1971-01-13,0.5423,0.5423,0.5423,0.5423
1971-01-14,0.5431,0.5431,0.5431,0.5431
1971-01-15,0.5433,0.5433,0.5433,0.5433
1971-01-18,0.5431,0.5431,0.5431,0.5431
1971-01-19,0.5422,0.5422,0.5422,0.5422
1971-01-20,0.543,0.543,0.543,0.543
1971-01-21,0.5429,0.5429,0.5429,0.5429
1971-01-22,0.5434,0.5434,0.5434,0.5434
1971-01-25,0.5432,0.5432,0.5432,0.5432
1971-01-26,0.5429,0.5429,0.5429,0.5429
1971-01-27,0.5427,0.5427,0.5427,0.5427
1971-01-28,0.542,0.542,0.542,0.542
1971-01-29,0.5414,0.5414,0.5414,0.5414
1971-02-01,0.541,0.541,0.541,0.541
1971-02-02,0.5416,0.5416,0.5416,0.5416
1971-02-03,0.5417,0.5417,0.5417,0.5417
1971-02-04,0.5414,0.5414,0.5414,0.5414
1971-02-05,0.5413,0.5413,0.5413,0.5413
1971-02-08,0.5415,0.5415,0.5415,0.5415
1971-02-09,0.5417,0.5417,0.5417,0.5417
1971-02-10,0.5416,0.5416,0.5416,0.5416
1971-02-11,0.5415,0.5415,0.5415,0.5415
1971-02-16,0.5417,0.5417,0.5417,0.5417
1971-02-17,0.5419,0.5419,0.5419,0.5419
1971-02-18,0.5412,0.5412,0.5412,0.5412
1971-02-19,0.5407,0.5407,0.5407,0.5407
1971-02-22,0.5395,0.5395,0.5395,0.5395
1971-02-23,0.5391,0.5391,0.5391,0.5391
1971-02-24,0.5413,0.5413,0.5413,0.5413
1971-02-25,0.5406,0.5406,0.5406,0.5406
1971-02-26,0.5401,0.5401,0.5401,0.5401
1971-03-01,0.5409,0.5409,0.5409,0.5409
1971-03-02,0.5408,0.5408,0.5408,0.5408
1971-03-03,0.5412,0.5412,0.5412,0.5412
1971-03-04,0.5403,0.5403,0.5403,0.5403
1971-03-05,0.5395,0.5395,0.5395,0.5395
1971-03-08,0.5388,0.5388,0.5388,0.5388
1971-03-09,0.5393,0.5393,0.5393,0.5393
1971-03-10,0.539,0.539,0.539,0.539
1971-03-11,0.5397,0.5397,0.5397,0.5397
1971-03-12,0.5398,0.5398,0.5398,0.5398
1971-03-15,0.5399,0.5399,0.5399,0.5399
1971-03-16,0.5395,0.5395,0.5395,0.5395
1971-03-17,0.5402,0.5402,0.5402,0.5402
1971-03-18,0.5405,0.5405,0.5405,0.5405
1971-03-19,0.5413,0.5413,0.5413,0.5413
1971-03-22,0.5414,0.5414,0.5414,0.5414
1971-03-23,0.5414,0.5414,0.5414,0.5414
1971-03-24,0.5413,0.5413,0.5413,0.5413
1971-03-25,0.5408,0.5408,0.5408,0.5408
1971-03-26,0.5411,0.5411,0.5411,0.5411
1971-03-29,0.5411,0.5411,0.5411,0.5411
1971-03-30,0.5416,0.5416,0.5416,0.5416
1971-03-31,0.5416,0.5416,0.5416,0.5416
1971-04-01,0.5414,0.5414,0.5414,0.5414
1971-04-02,0.5412,0.5412,0.5412,0.5412
1971-04-05,0.5409,0.5409,0.5409,0.5409
1971-04-06,0.5405,0.5405,0.5405,0.5405
1971-04-07,0.5406,0.5406,0.5406,0.5406
1971-04-08,0.5408,0.5408,0.5408,0.5408
1971-04-09,0.5406,0.5406,0.5406,0.5406
1971-04-12,0.5405,0.5405,0.5405,0.5405
1971-04-13,0.5405,0.5405,0.5405,0.5405
1971-04-14,0.5409,0.5409,0.5409,0.5409
1971-04-15,0.5407,0.5407,0.5407,0.5407
1971-04-16,0.54,0.54,0.54,0.54
1971-04-19,0.5393,0.5393,0.5393,0.5393
1971-04-20,0.5398,0.5398,0.5398,0.5398
1971-04-21,0.5402,0.5402,0.5402,0.5402
1971-04-22,0.5404,0.5404,0.5404,0.5404
1971-04-23,0.5405,0.5405,0.5405,0.5405
1971-04-26,0.5411,0.5411,0.5411,0.5411
1971-04-27,0.5415,0.5415,0.5415,0.5415
1971-04-28,0.5419,0.5419,0.5419,0.5419
1971-04-29,0.5415,0.5415,0.5415,0.5415
1971-04-30,0.5418,0.5418,0.5418,0.5418
1971-05-03,0.542,0.542,0.542,0.542
1971-05-04,0.5421,0.5421,0.5421,0.5421
1971-05-05,0.5488,0.5488,0.5488,0.5488
1971-05-06,0.5485,0.5485,0.5485,0.5485
1971-05-07,0.5502,0.5502,0.5502,0.5502
1971-05-10,0.5558,0.5558,0.5558,0.5558
1971-05-11,0.5509,0.5509,0.5509,0.5509
1971-05-12,0.5523,0.5523,0.5523,0.5523
1971-05-13,0.5551,0.5551,0.5551,0.5551
1971-05-14,0.5547,0.5547,0.5547,0.5547
1971-05-17,0.5548,0.5548,0.5548,0.5548
1971-05-18,0.5549,0.5549,0.5549,0.5549
1971-05-19,0.5575,0.5575,0.5575,0.5575
1971-05-20,0.5613,0.5613,0.5613,0.5613
1971-05-21,0.5621,0.5621,0.5621,0.5621
1971-05-24,0.5609,0.5609,0.5609,0.5609
1971-05-25,0.5563,0.5563,0.5563,0.5563
1971-05-26,0.5546,0.5546,0.5546,0.5546
1971-05-27,0.5552,0.5552,0.5552,0.5552
1971-05-28,0.5552,0.5552,0.5552,0.5552
1971-06-01,0.5534,0.5534,0.5534,0.5534
1971-06-02,0.5567,0.5567,0.5567,0.5567
1971-06-03,0.5632,0.5632,0.5632,0.5632
1971-06-04,0.5628,0.5628,0.5628,0.5628
1971-06-07,0.5626,0.5626,0.5626,0.5626
1971-06-08,0.5643,0.5643,0.5643,0.5643
1971-06-09,0.5656,0.5656,0.5656,0.5656
1971-06-10,0.5689,0.5689,0.5689,0.5689
1971-06-11,0.5693,0.5693,0.5693,0.5693
1971-06-14,0.5689,0.5689,0.5689,0.5689
1971-06-15,0.57,0.57,0.57,0.57
1971-06-16,0.5701,0.5701,0.5701,0.5701
1971-06-17,0.5701,0.5701,0.5701,0.5701
1971-06-18,0.569,0.569,0.569,0.569
1971-06-21,0.5699,0.5699,0.5699,0.5699
1971-06-22,0.5704,0.5704,0.5704,0.5704
1971-06-23,0.571,0.571,0.571,0.571
1971-06-24,0.5712,0.5712,0.5712,0.5712
1971-06-25,0.57,0.57,0.57,0.57
1971-06-28,0.5692,0.5692,0.5692,0.5692
1971-06-29,0.5701,0.5701,0.5701,0.5701
1971-06-30,0.5708,0.5708,0.5708,0.5708
1971-07-01,0.5703,0.5703,0.5703,0.5703
1971-07-02,0.5697,0.5697,0.5697,0.5697
1971-07-06,0.5698,0.5698,0.5698,0.5698
1971-07-07,0.5702,0.5702,0.5702,0.5702
1971-07-08,0.57,0.57,0.57,0.57
1971-07-09,0.5699,0.5699,0.5699,0.5699
1971-07-12,0.57,0.57,0.57,0.57
1971-07-13,0.5701,0.5701,0.5701,0.5701
1971-07-14,0.5718,0.5718,0.5718,0.5718
1971-07-15,0.5725,0.5725,0.5725,0.5725
1971-07-16,0.5742,0.5742,0.5742,0.5742
1971-07-19,0.5739,0.5739,0.5739,0.5739
1971-07-20,0.5726,0.5726,0.5726,0.5726
1971-07-21,0.5735,0.5735,0.5735,0.5735
1971-07-22,0.5727,0.5727,0.5727,0.5727
1971-07-23,0.5714,0.5714,0.5714,0.5714
1971-07-26,0.5729,0.5729,0.5729,0.5729
1971-07-27,0.5752,0.5752,0.5752,0.5752
1971-07-28,0.5757,0.5757,0.5757,0.5757
1971-07-29,0.5754,0.5754,0.5754,0.5754
1971-07-30,0.5743,0.5743,0.5743,0.5743
1971-08-02,0.5744,0.5744,0.5744,0.5744
1971-08-03,0.5745,0.5745,0.5745,0.5745
1971-08-04,0.5756,0.5756,0.5756,0.5756
1971-08-05,0.5757,0.5757,0.5757,0.5757
1971-08-06,0.5764,0.5764,0.5764,0.5764
1971-08-09,0.5756,0.5756,0.5756,0.5756
1971-08-10,0.5794,0.5794,0.5794,0.5794
1971-08-11,0.581,0.581,0.581,0.581
1971-08-12,0.5836,0.5836,0.5836,0.5836
1971-08-13,0.5824,0.5824,0.5824,0.5824
1971-08-16,0.5795,0.5795,0.5795,0.5795
1971-08-17,0.5798,0.5798,0.5798,0.5798
1971-08-18,0.5777,0.5777,0.5777,0.5777
1971-08-19,0.5779,0.5779,0.5779,0.5779
1971-08-20,0.5752,0.5752,0.5752,0.5752
1971-08-23,0.5768,0.5768,0.5768,0.5768
1971-08-24,0.5817,0.5817,0.5817,0.5817
1971-08-25,0.5825,0.5825,0.5825,0.5825
1971-08-26,0.5805,0.5805,0.5805,0.5805
1971-08-27,0.5792,0.5792,0.5792,0.5792
1971-08-30,0.5814,0.5814,0.5814,0.5814
1971-08-31,0.582,0.582,0.582,0.582
1971-09-01,0.5835,0.5835,0.5835,0.5835
1971-09-02,0.5835,0.5835,0.5835,0.5835
1971-09-03,0.584,0.584,0.584,0.584
1971-09-07,0.5845,0.5845,0.5845,0.5845
1971-09-08,0.5842,0.5842,0.5842,0.5842
1971-09-09,0.5839,0.5839,0.5839,0.5839
1971-09-10,0.5853,0.5853,0.5853,0.5853
1971-09-13,0.5855,0.5855,0.5855,0.5855
1971-09-14,0.5875,0.5875,0.5875,0.5875
1971-09-15,0.5874,0.5874,0.5874,0.5874
1971-09-16,0.5874,0.5874,0.5874,0.5874
1971-09-17,0.5873,0.5873,0.5873,0.5873
1971-09-20,0.5916,0.5916,0.5916,0.5916
1971-09-21,0.5898,0.5898,0.5898,0.5898
1971-09-22,0.5916,0.5916,0.5916,0.5916
1971-09-23,0.5945,0.5945,0.5945,0.5945
1971-09-24,0.5924,0.5924,0.5924,0.5924
1971-09-27,0.5943,0.5943,0.5943,0.5943
1971-09-28,0.5942,0.5942,0.5942,0.5942
1971-09-29,0.5944,0.5944,0.5944,0.5944
1971-09-30,0.5936,0.5936,0.5936,0.5936
1971-10-01,0.5928,0.5928,0.5928,0.5928
1971-10-04,0.5916,0.5916,0.5916,0.5916
1971-10-05,0.5917,0.5917,0.5917,0.5917
1971-10-06,0.5924,0.5924,0.5924,0.5924
1971-10-07,0.592,0.592,0.592,0.592
1971-10-08,0.5916,0.5916,0.5916,0.5916
1971-10-12,0.5897,0.5897,0.5897,0.5897
1971-10-13,0.5893,0.5893,0.5893,0.5893
1971-10-14,0.5869,0.5869,0.5869,0.5869
1971-10-15,0.5877,0.5877,0.5877,0.5877
1971-10-18,0.5894,0.5894,0.5894,0.5894
1971-10-19,0.5893,0.5893,0.5893,0.5893
1971-10-20,0.5896,0.5896,0.5896,0.5896
1971-10-21,0.5888,0.5888,0.5888,0.5888
1971-10-22,0.5854,0.5854,0.5854,0.5854
1971-10-26,0.5866,0.5866,0.5866,0.5866
1971-10-27,0.5859,0.5859,0.5859,0.5859
1971-10-28,0.5857,0.5857,0.5857,0.5857
1971-10-29,0.5863,0.5863,0.5863,0.5863
1971-11-01,0.588,0.588,0.588,0.588
1971-11-03,0.5865,0.5865,0.5865,0.5865
1971-11-04,0.5865,0.5865,0.5865,0.5865
1971-11-05,0.5868,0.5868,0.5868,0.5868
1971-11-08,0.5867,0.5867,0.5867,0.5867
1971-11-09,0.5864,0.5864,0.5864,0.5864
1971-11-10,0.5855,0.5855,0.5855,0.5855
1971-11-11,0.5858,0.5858,0.5858,0.5858
1971-11-12,0.5865,0.5865,0.5865,0.5865
1971-11-15,0.5863,0.5863,0.5863,0.5863
1971-11-16,0.5861,0.5861,0.5861,0.5861
1971-11-17,0.5865,0.5865,0.5865,0.5865
1971-11-18,0.5855,0.5855,0.5855,0.5855
1971-11-19,0.5863,0.5863,0.5863,0.5863
1971-11-22,0.5875,0.5875,0.5875,0.5875
1971-11-23,0.5884,0.5884,0.5884,0.5884
1971-11-24,0.5907,0.5907,0.5907,0.5907
1971-11-26,0.591,0.591,0.591,0.591
1971-11-29,0.5908,0.5908,0.5908,0.5908
1971-11-30,0.5911,0.5911,0.5911,0.5911
1971-12-01,0.5921,0.5921,0.5921,0.5921
1971-12-02,0.5945,0.5945,0.5945,0.5945
1971-12-03,0.5981,0.5981,0.5981,0.5981
1971-12-06,0.6007,0.6007,0.6007,0.6007
1971-12-07,0.5974,0.5974,0.5974,0.5974
1971-12-08,0.5973,0.5973,0.5973,0.5973
1971-12-09,0.5948,0.5948,0.5948,0.5948
1971-12-10,0.5926,0.5926,0.5926,0.5926
1971-12-13,0.5934,0.5934,0.5934,0.5934
1971-12-14,0.5971,0.5971,0.5971,0.5971
1971-12-15,0.5977,0.5977,0.5977,0.5977
1971-12-16,0.5972,0.5972,0.5972,0.5972
1971-12-17,0.5965,0.5965,0.5965,0.5965
1971-12-20,0.5946,0.5946,0.5946,0.5946
1971-12-21,0.5966,0.5966,0.5966,0.5966
1971-12-22,0.5975,0.5975,0.5975,0.5975
1971-12-23,0.5976,0.5976,0.5976,0.5976
1971-12-24,0.5973,0.5973,0.5973,0.5973
1971-12-27,0.5954,0.5954,0.5954,0.5954
1971-12-28,0.5955,0.5955,0.5955,0.5955
1971-12-29,0.5957,0.5957,0.5957,0.5957
1971-12-30,0.5971,0.5971,0.5971,0.5971
1971-12-31,0.598,0.598,0.598,0.598
1972-01-03,0.5986,0.5986,0.5986,0.5986
1972-01-04,0.5989,0.5989,0.5989,0.5989
1972-01-05,0.599,0.599,0.599,0.599
